accountsservice 23.13.9-2.1
ttf-bitstream-vera 1.10-16
ttf-dejavu 2.37+18+g9b5d1b2f-7
ttf-firacode-nerd 3.4.0-2
ttf-jetbrains-mono-nerd 3.4.0-2
ttf-liberation 2.1.5-2
ttf-meslo-nerd 3.4.0-2
ttf-opensans 3.003-1
tty-clock 2.3-2
tumbler 4.20.1-1.1
udiskie 2.6.1-1
udisks2 2.11.0-1.1
ufw 0.36.2-7
unrar 1:7.2.4-1.1
unzip 6.0-23.1
upower 1.91.1-1.1
usb_modeswitch 2.6.2.20251207-1.1
usbutils 019-1.1
uwsm 0.26.3-1
vim 9.1.2132-1.1
virt-manager 5.1.0-3
vlc-plugins-all 3.0.21-32.1
vulkan-icd-loader 1.4.341.0-1.1
waybar 0.15.0-1.1
waypaper 2.7-2
wget 1.25.0-3.1
which 2.23-1.1
wireless-regdb 2025.10.07-1
wireplumber 0.5.13-1.1
wlogout 1.2.2-0
wofi 1.5.3-1.1
wpa_supplicant 2:2.11-5.1
xclip 0.13-6.1
xdg-desktop-portal-gtk 1.15.3-1.1
xdg-desktop-portal-hyprland 1.3.11-3.1
xdg-user-dirs 0.19-2.1
xdg-utils 1.2.1-2
xfsprogs 6.18.0-1.1
xl2tpd 1.3.19-1.1
yay 12.5.7-1
zfs-auto-snapshot 1.2.4-1
zfs-utils 2.4.0-1
